28
15
1
3.5;3.21892;2.42836;1.27646;-0.0209446;-1.22073;-2.09808;-2.48858;-2.31908;-1.62132;-0.52606;0.761467;2;2.95746;3.45442;
4.5;4.12523;3.07115;1.53528;-0.194593;-1.79431;-2.9641;-3.48478;-3.25877;-2.32843;-0.86808;0.848623;2.5;3.77661;4.43923;
5.5;5.03154;3.71394;1.7941;-0.368241;-2.36788;-3.83013;-4.48097;-4.19846;-3.03553;-1.2101;0.935779;3;4.59576;5.42404;
6.5;5.93785;4.35673;2.05291;-0.541889;-2.94146;-4.69615;-5.47717;-5.13816;-3.74264;-1.55212;1.02293;3.5;5.41491;6.40885;
7.5;6.84415;4.99951;2.31173;-0.715537;-3.51504;-5.56218;-6.47336;-6.07785;-4.44975;-1.89414;1.11009;4;6.23406;7.39365;
8.5;7.75046;5.6423;2.57055;-0.889186;-4.08861;-6.4282;-7.46956;-7.01754;-5.15685;-2.23616;1.19725;4.5;7.05322;8.37846;
9.5;8.65677;6.28509;2.82937;-1.06283;-4.66219;-7.29423;-8.46575;-7.95723;-5.86396;-2.57818;1.2844;5;7.87237;9.36327;
10.5;9.56308;6.92788;3.08819;-1.23648;-5.23576;-8.16025;-9.46195;-8.89693;-6.57107;-2.9202;1.37156;5.5;8.69152;10.3481;
11.5;10.4694;7.57066;3.34701;-1.41013;-5.80934;-9.02628;-10.4581;-9.83662;-7.27818;-3.26222;1.45871;6;9.51067;11.3329;
12.5;11.3757;8.21345;3.60583;-1.58378;-6.38292;-9.8923;-11.4543;-10.7763;-7.98528;-3.60424;1.54587;6.5;10.3298;12.3177;
13.5;12.282;8.85624;3.86465;-1.75743;-6.95649;-10.7583;-12.4505;-11.716;-8.69239;-3.94626;1.63302;7;11.149;13.3025;
14.5;13.1883;9.49903;4.12347;-1.93107;-7.53007;-11.6244;-13.4467;-12.6557;-9.3995;-4.28828;1.72018;7.5;11.9681;14.2873;
15.5;14.0946;10.1418;4.38229;-2.10472;-8.10365;-12.4904;-14.4429;-13.5954;-10.1066;-4.6303;1.80734;8;12.7873;15.2721;
16.5;15.0009;10.7846;4.64111;-2.27837;-8.67722;-13.3564;-15.4391;-14.5351;-10.8137;-4.97232;1.89449;8.5;13.6064;16.2569;
9.5;8.65677;6.28509;2.82937;-1.06283;-4.66219;-7.29423;-8.46575;-7.95723;-5.86396;-2.57818;1.2844;5;7.87237;9.36327;
10.5;9.56308;6.92788;3.08819;-1.23648;-5.23576;-8.16025;-9.46195;-8.89693;-6.57107;-2.9202;1.37156;5.5;8.69152;10.3481;
11.5;10.4694;7.57066;3.34701;-1.41013;-5.80934;-9.02628;-10.4581;-9.83662;-7.27818;-3.26222;1.45871;6;9.51067;11.3329;
12.5;11.3757;8.21345;3.60583;-1.58378;-6.38292;-9.8923;-11.4543;-10.7763;-7.98528;-3.60424;1.54587;6.5;10.3298;12.3177;
13.5;12.282;8.85624;3.86465;-1.75743;-6.95649;-10.7583;-12.4505;-11.716;-8.69239;-3.94626;1.63302;7;11.149;13.3025;
14.5;13.1883;9.49903;4.12347;-1.93107;-7.53007;-11.6244;-13.4467;-12.6557;-9.3995;-4.28828;1.72018;7.5;11.9681;14.2873;
15.5;14.0946;10.1418;4.38229;-2.10472;-8.10365;-12.4904;-14.4429;-13.5954;-10.1066;-4.6303;1.80734;8;12.7873;15.2721;
16.5;15.0009;10.7846;4.64111;-2.27837;-8.67722;-13.3564;-15.4391;-14.5351;-10.8137;-4.97232;1.89449;8.5;13.6064;16.2569;
17.5;15.9072;11.4274;4.89992;-2.45202;-9.2508;-14.2224;-16.4353;-15.4748;-11.5208;-5.31434;1.98165;9;14.4256;17.2417;
18.5;16.8135;12.0702;5.15874;-2.62567;-9.82438;-15.0885;-17.4315;-16.4145;-12.2279;-5.65636;2.0688;9.5;15.2447;18.2265;
19.5;17.7198;12.713;5.41756;-2.79932;-10.398;-15.9545;-18.4277;-17.3542;-12.935;-5.99838;2.15596;10;16.0639;19.2113;
20.5;18.6262;13.3558;5.67638;-2.97296;-10.9715;-16.8205;-19.4239;-18.2939;-13.6421;-6.3404;2.24311;10.5;16.883;20.1962;
21.5;19.5325;13.9985;5.9352;-3.14661;-11.5451;-17.6865;-20.4201;-19.2335;-14.3492;-6.68242;2.33027;11;17.7022;21.181;
22.5;20.4388;14.6413;6.19402;-3.32026;-12.1187;-18.5526;-21.4163;-20.1732;-15.0564;-7.02444;2.41743;11.5;18.5213;22.1658;
0.5;1.76785;2.79813;3.39778;3.45442;2.95746;2;0.761468;-0.52606;-1.62132;-2.31908;-2.48858;-2.09808;-1.22073;-0.0209453;
0.5;2.19047;3.56418;4.3637;4.43923;3.77661;2.5;0.848624;-0.868081;-2.32843;-3.25877;-3.48478;-2.9641;-1.79431;-0.194594;
0.5;2.61309;4.33022;5.32963;5.42404;4.59576;3;0.935779;-1.2101;-3.03553;-4.19846;-4.48097;-3.83013;-2.36788;-0.368242;
0.5;3.03571;5.09627;6.29556;6.40885;5.41491;3.5;1.02294;-1.55212;-3.74264;-5.13816;-5.47717;-4.69615;-2.94146;-0.541891;
0.5;3.45833;5.86231;7.26148;7.39365;6.23406;4;1.11009;-1.89414;-4.44975;-6.07785;-6.47336;-5.56218;-3.51504;-0.715539;
0.5;3.88095;6.62836;8.22741;8.37846;7.05322;4.5;1.19725;-2.23616;-5.15685;-7.01754;-7.46956;-6.4282;-4.08861;-0.889188;
